shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/1/5,IC1.SLO1100GE9/1/5,100GE,up,Available,TRK:ENLACE:ROE1.HOR1 (Hu0/3/0/3) (S001_10 98SLO01 13/2) Linea:15009206,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/1/6,IC1.SLO1100GE9/1/6,100GE,up,Available,TRK:ENLACE:MUN1NA (Hu0/18/0/2) (98SLO01 5/1) Linea:15009099,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/1/7,IC1.SLO1100GE9/1/7,100GE,up,Available,TRK:ENLACE:MUN1NA (Hu0/18/0/3) (98SLO01 5/2) Linea:15009100,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/1/8,IC1.SLO1100GE9/1/8,100GE,up,Available,TRK:ENLACE:MUN1NA (Hu0/18/0/4) (98SLO01 6/1) Linea:15009101,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/1/9,IC1.SLO1100GE9/1/9,100GE,up,Available,TRK:ENLACE:MUN1NA (Hu0/18/0/5) (98SLO01 6/2) Linea:15009102,NaN,revisar
INNER CORE,IC1.SLO1,Huawei-NE9000-20,100GE9/1/10,IC1.SLO1100GE9/1/10,100GE,up,Available,TRK:ENLACE:MUN1NA (Hu0/18/0/6) (98SLO01 7/1) Linea:15009103,NaN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/1/0/0,BEL1NAHu0/1/0/0,Hu,up,Available,Enlace 100G NN A MUN1PR Hu0/1/0/3 (Linea:15004634) - UPLINK BBIP,NaN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/1/0/1,BEL1NAHu0/1/0/1,Hu,up,Available,Enlace 100G NN A BEL1MB Hu0/4/0/0 (Linea:15004651) - UPLINK BBIP,NaN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/1/0/3,BEL1NAHu0/1/0/3,Hu,up,Available,Enlace 100G A CLI1MB Hu0/4/0/1 (Linea:15001971) - UPLINK BBIP,NaN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/1/0/4,BEL1NAHu0/1/0/4,Hu,up,Reserved,Enlace 100G NN A BEL1PR Hu0/2/0/3 (Linea:15004650) - UPLINK BBIP,Enlace 100G NN A BEL1PR Hu0/2/0/3 (Linea:15004650) - UPLINK BBIP,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/1/0/7,BEL1NAHu0/1/0/7,Hu,up,Reserved,Enlace 100G NN MUN1PR Hu0/11/0/0 (Linea:15008543) - UPLINK AGN,Enlace 100G NN MUN1PR Hu0/11/0/0 (Linea:15008543) - UPLINK AGN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/3/0/0,BEL1NAHu0/3/0/0,Hu,up,Reserved,Enlace 100G NN A BEL1PR Hu0/0/0/3 (Linea:15007843) - UPLINK BBIP,Enlace 100G NN A BEL1PR Hu0/0/0/3 (Linea:15007843) - UPLINK BBIP,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/3/0/1,BEL1NAHu0/3/0/1,Hu,up,Reserved,Enlace 100G NN A MUN1PR Hu0/5/0/3 (Linea:15007481) - UPLINK BBIP,Enlace 100G NN A MUN1PR Hu0/5/0/3 (Linea:15007481) - UPLINK BBIP,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/3/0/2,BEL1NAHu0/3/0/2,Hu,up,Reserved,Enlace 100G NN A BEL1PR Hu0/4/0/0 (Linea:15005397) - UPLINK BBIP,Enlace 100G NN A BEL1PR Hu0/4/0/0 (Linea:15005397) - UPLINK BBIP,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/4/0/0,BEL1NAHu0/4/0/0,Hu,up,Available,ENLACE-M 100G DWDM A CLI1NP Hu0/3/0/0 (15002894) - UPLINK MOVIL-SPLIT,NaN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/4/0/1,BEL1NAHu0/4/0/1,Hu,up,Available,Enlace 100G Fo GLF5MU_G3/0/0 (Linea:15007800) - UPLINK AGN,NaN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/4/0/2,BEL1NAHu0/4/0/2,Hu,up,Available,Enlace 100G FO GLF4MU_G3/0/0 (Linea:15007798) - UPLINK AGN,NaN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/4/0/3,BEL1NAHu0/4/0/3,Hu,up,Available,Enlace 100G DWDM PAR3MU_G15/0/0 (Linea:11004564) - UPLINK AGN,NaN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/4/0/4,BEL1NAHu0/4/0/4,Hu,up,Available,Enlace 100G DWDM BBL2MU_G2/0/0 (Linea:15009020) - UPLINK AGN,NaN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/10/1/5,BEL1NATe0/10/1/5,Te,up,Reserved,Enlace 10G A 5AB1MU (ex CMIA) TE0/1/0 (Linea:15008925)-TAG101UBA2MI2NN - UPLINK BBIP,Miami - IRU Back LIN 15008925,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/10/1/6,BEL1NATe0/10/1/6,Te,up,Available,Enlace 10G DWDM A TNN1MU TE0/0/1/0 (Linea 15007987) UPLINK AGN,Enlace 10G DWDM A TNN1MU TE0/0/1/0 (Linea 15007987) UPLINK AGN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/10/1/7,BEL1NATe0/10/1/7,Te,up,Available,Enlace 10G DWDM A TNN1MU TE0/0/1/1 (Linea 15007988) UPLINK AGN,Enlace 10G DWDM A TNN1MU TE0/0/1/1 (Linea 15007988) UPLINK AGN,revisar
