shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/1/10,IC1.HOR1100GE9/1/10,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/17/0/6) (98HOR01 4/1) Linea: 15009098,Linea: 15009098,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/4,RSC1NATe0/11/0/4,Te,up,Active,Enlace 10G DWDM SLV2MU_G6/0/0 (Linea:13006538) - UPLINK AGN,Enlace 10G DWDM SLV2MU_G6/0/0 (Linea:13006538) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/0/0/0,RSC1NAHu0/0/0/0,Hu,up,Active,TRK:ENLACE:ROA1.ROS1 (et-9/0/2) Linea: 11005757,Enlace 100G NN A BRSC Hu0/2/0/1 (Linea:11002404) - UPLINK BBIP,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/0/0/1,RSC1NAHu0/0/0/1,Hu,up,Active,Enlace 100G NN A RSC2MB Hu0/5/0/0 (Linea:11002407) - UPLINK BBIP,Enlace 100G NN A RSC2MB Hu0/5/0/0 (Linea:11002407) - UPLINK BBIP,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/0/0/3,RSC1NAHu0/0/0/3,Hu,up,Active,Enlace 100G NN A RSC1MB Hu0/2/0/0 (Linea:11002637) - UPLINK BBIP,Enlace 100G NN A RSC1MB Hu0/2/0/0 (Linea:11002637) - UPLINK BBIP,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/2/0/0,RSC1NAHu0/2/0/0,Hu,up,Active,ENLACE 100G a CDNGW.RSC1 Hu0/0/0/6,a CDNGW.RSC1 Hu0/0/0/6 linea 15009299,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/2/0/1,RSC1NAHu0/2/0/1,Hu,up,Active,ENLACE 100G a CDNGW.RSC1 Hu0/0/0/7,a CDNGW.RSC1 Hu0/0/0/7 linea 15009645,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/2/0/2,RSC1NAHu0/2/0/2,Hu,up,Active,ENLACE 100G a CDNGW.RSC1 Hu0/0/0/8,a CDNGW.RSC1 Hu0/0/0/8 linea 15009646,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/2/0/3,RSC1NAHu0/2/0/3,Hu,up,Active,ENLACE 100G a CDNGW.RSC1 Hu0/0/0/9,a CDNGW.RSC1 Hu0/0/0/9 linea 15009647,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/2/0/4,RSC1NAHu0/2/0/4,Hu,up,Active,ENLACE 100G a CDNGW.RSC1 Hu0/0/0/10,a CDNGW.RSC1 Hu0/0/0/10 linea 15009648,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/2/0/5,RSC1NAHu0/2/0/5,Hu,up,Active,ENLACE 100G a CDNGW.RSC1 Hu0/0/0/11,a CDNGW.RSC1 Hu0/0/0/11 linea 15009649,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/2/0/6,RSC1NAHu0/2/0/6,Hu,up,Active,ENLACE 100G a CDNGW.RSC1 Hu0/0/0/18,a CDNGW.RSC1 Hu0/0/0/18 linea 15009650,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/3/0/0,RSC1NAHu0/3/0/0,Hu,up,Active,ENLACE 100G A HIP1MB Hu0/3/0/1 - Linea 11004536 UPLINK BBIP (MIG 4/0/0),ENLACE 100G A HIP1MB Hu0/3/0/1 - Linea 11004536 UPLINK BBIP (MIG 4/0/0),ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/3/0/1,RSC1NAHu0/3/0/1,Hu,up,Active,Enlace 100G FO ARJ3MU_G3/0/0 (Linea:11004614) - UPLINK AGN,Enlace 100G FO ARJ3MU_G3/0/0 (Linea:11004614) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/3/0/2,RSC1NAHu0/3/0/2,Hu,up,Active,Enlace 100G FO SRT3MU_G5/0/0 (Linea:11004622) - UPLINK AGN,Enlace 100G FO SRT3MU_G5/0/0 (Linea:11004622) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/3/0/3,RSC1NAHu0/3/0/3,Hu,up,Active,Enlace 100G DWDM SNI3MU_G5/0/0 (Linea:11004643) - UPLINK AGN,Enlace 100G DWDM SNI3MU_G5/0/0 (Linea:11004643) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/4/0/0,RSC1NAHu0/4/0/0,Hu,up,Active,Enlace 100G FO LUR3MU_G4/1/0 (Linea:11004617) - UPLINK AGN,Enlace 100G FO LUR3MU_G4/1/0 (Linea:11004617) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/4/0/2,RSC1NAHu0/4/0/2,Hu,up,Active,Enlace a IRD1MB Te0/3/0/0 (Linea:11002597) - UPLINK BBIP,Enlace a IRD1MB Te0/3/0/0 (Linea:11002597) - UPLINK BBIP,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/4/0/3,RSC1NAHu0/4/0/3,Hu,up,Active,Enlace a IRD2MB Hu0/4/0/0 (Linea:11001603) - UPLINK BBIP,Enlace a IRD2MB Hu0/4/0/0 (Linea:11001603) - UPLINK BBIP,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/5,RSC1NATe0/11/0/5,Te,up,Active,Enlace 10G FO BGR2MU_G4/1/0 (Linea:11004820) - UPLINK AGN,Enlace 10G FO BGR2MU_G4/1/0 (Linea:11004820) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/6,RSC1NATe0/11/0/6,Te,up,Active,TRK:ENLACE: ROA1.RON1 (xe-9/0/2),NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/7,RSC1NATe0/11/0/7,Te,up,Active,Enlace 10G DWDM SLV2MU_G1/0/1 (Linea:13006536) - UPLINK AGN,Enlace 10G DWDM SLV2MU_G1/0/1 (Linea:13006536) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/8,RSC1NATe0/11/0/8,Te,up,Active,TRK:ENLACE: ROA1.RON1 (xe-10/2/1),NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/9,RSC1NATe0/11/0/9,Te,up,Active,Enlace 10G FO AES2MU_G1/0/0 (Linea:11001986) - UPLINK AGN,Enlace 10G FO AES2MU_G1/0/0 (Linea:11001986) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/11,RSC1NATe0/11/0/11,Te,up,Active,TRK:ENLACE: ROA1.ROH1 (xe-3/3/0),NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/14,RSC1NATe0/11/0/14,Te,up,Active,TRK:ENLACE: ROA1.ROH1 (xe-3/1/3),NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/15,RSC1NATe0/11/0/15,Te,up,Active,Enlace 10G DWDM SLV2MU_G8/0/0 (Linea:15004045) - UPLINK AGN,Enlace 10G DWDM SLV2MU_G8/0/0 (Linea:15004045) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/16,RSC1NATe0/11/0/16,Te,up,Active,Enlace 10G DWDM GAL2MU_G8/0/1 (Linea:11005552) - UPLINK AGN,Enlace 10G DWDM GAL2MU_G8/0/1 (Linea:11005552) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/0/19,RSC1NATe0/11/0/19,Te,up,Active,TRK:ENLACE: ROA1.RON1 (xe-9/2/1),11005763 Rehoming a ROA1.RON1.,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/1/5,RSC1NATe0/11/1/5,Te,up,Active,TRK:ENLACE: ROA1.ROH1 (xe-3/3/1),NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Te0/11/1/6,RSC1NATe0/11/1/6,Te,up,Active,TRK:ENLACE: ROA1.ROH1 (xe-3/3/2),NaN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/13/0/1,RSC1NAHu0/13/0/1,Hu,up,Active,Enlace 100G FO IRD5MU_G3/0/0 (Linea:11004825) - UPLINK AGN,Enlace 100G FO IRD5MU_G3/0/0 (Linea:11004825) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/13/0/2,RSC1NAHu0/13/0/2,Hu,up,Active,Enlace 100G FO RSC5MU_G3/0/0 (Linea:11004828) - UPLINK AGN,Enlace 100G FO RSC5MU_G3/0/0 (Linea:11004828) - UPLINK AGN,ok_reserva
OUTER CORE,RSC1NA,Cisco-ASR-9922,Hu0/13/0/3,RSC1NAHu0/13/0/3,Hu,up,Active,Enlace 100G VMI4MU_Hu0/5/0/0 (Linea:13006514) - UPLINK AGN,Enlace 100G VMI4MU_Hu0/5/0/0 (Linea:13006514) - UPLINK AGN,ok_reserva
